"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"St Louis","MO","Marquette","6045","63139","65","0","Full, Stone/Rock, Walk-Out","1.00","170","St Louis City","Central-Electric","13","FHA","0","Gas","GSTL","119900.00","","Private","116500.00","12/19/2011 12:00:00 AM","116500.00","Cash, Conventional, FHA, VA","Sold","12/27/2011 12:00:00 AM","2.00","11/6/2011 12:00:00 AM"
"St Louis","MO","Fyler","6603","63139","90","0","Full, Walk-Out","2.00","7","St Louis City","Ceiling Fan, Central-Electric","7","Conventional","1","Gas","GSTL","119900.00","","Private","117900.00","5/31/2012 12:00:00 AM","117900.00","Cash, Conventional, FHA, VA","Sold","5/31/2012 4:56:22 PM","4.00","3/29/2012 12:00:00 AM"
"St Louis","MO","McCausland","4629","63109","70","0","Full, Stone/Rock, Walk-Out","1.00","204","St Louis City","Ceiling Fan, Central-Electric","204","Conventional","1","Electric","GSTL","124900.00","","Private","120000.00","8/29/2011 12:00:00 AM","120000.00","Cash, Conventional, FHA, RRM/ARM, VA","Sold","8/30/2011 12:00:00 AM","3.00","12/28/2010 12:00:00 AM"
"St Louis","MO","Chippewa","6326","63109","74","0","Partially Finished, Rec/Family Area, Walk-Out","2.00","75","St Louis City","Central-Electric","75","Other","1","Gas","GSTL","124900.00","","Private","120000.00","3/30/2012 12:00:00 AM","120000.00","Cash, Conventional, FHA","Sold","4/2/2012 3:12:20 PM","2.00","11/17/2011 12:00:00 AM"
"St Louis","MO","Mardel","7067","63109","89","","Bathroom in LL, Full, Partially Finished, Sleeping Area, Walk-Out","2.00","136","St Louis City","Central-Electric","31","FHA","2","Gas","GSTL","122500.00","","Private","120000.00","3/29/2012 12:00:00 AM","120000.00","Cash, Conventional, FHA, RRM/ARM, VA","Sold","3/30/2012 10:23:10 AM","3.00","2/24/2012 12:00:00 AM"
"St Louis","MO","Norma","3325","63139","74","","8 ft + pour, Partial, Storage/Locker, Unfinished, Walk-Out","1.00","58","St Louis City","Ceiling Fan, Central-Electric","58","VA","2","Gas","GSTL","129900.00","","Private","121000.00","5/30/2012 12:00:00 AM","121000.00","Cash, Conventional, FHA","Sold","5/30/2012 7:36:09 PM","3.00","1/31/2012 12:00:00 AM"
"St Louis","MO","Marquette","6211","63139","75","0","Full, Partially Finished, Rec/Family Area","1.00","143","St Louis City","Central-Electric","143","Conventional","0","Gas","GSTL","124900.00","","Private","122000.00","11/16/2011 12:00:00 AM","122000.00","Cash, Conventional, FHA, VA","Sold","11/17/2011 12:00:00 AM","2.00","5/23/2011 12:00:00 AM"
"St Louis","MO","Clifton","3126","63139","83","0","Full, Poured Concrete, Roughed-In Bath, Sump Pit/Pump, Stone/Rock, Walk-Out","1.00","132","St Louis City","Ceiling Fan, Central-Electric","132","FHA","1","Gas","GSTL","124900.00","","Private","122000.00","2/10/2012 12:00:00 AM","122000.00","Cash, Conventional, FHA","Sold","2/13/2012 9:09:49 AM","2.00","8/22/2011 12:00:00 AM"
"St Louis","MO","Sutherland","6709","63109","71","0","Bathroom in LL, Full, Partially Finished, Rec/Family Area, Walk-Out","3.00","141","St Louis City","Central-Electric","141","Cash","1","Gas","GSTL","125000.00","","Owner by Contract","122500.00","10/13/2011 12:00:00 AM","122500.00","Cash, Conventional, FHA, VA","Sold","10/24/2011 12:00:00 AM","3.00","4/12/2011 12:00:00 AM"
"St Louis","MO","Hillsland","6938","63109","72","","Full, Partially Finished, Walk-Out","2.00","74","St Louis City","Central-Electric","74","FHA","0","Gas","GSTL","124900.00","","Private","124000.00","5/11/2012 12:00:00 AM","124000.00","Cash, Conventional, FHA, Government","Sold","5/16/2012 11:22:47 AM","4.00","1/26/2012 12:00:00 AM"
"St Louis","MO","Tholozan","6633","63109","73","0","Full, Partially Finished, Poured Concrete, Rec/Family Area","1.00","179","St Louis City","Central-Electric","179","Conventional","1","Gas","GSTL","129900.00","","Private","125000.00","12/8/2011 12:00:00 AM","125000.00","Cash, Conventional, FHA, Government, VA","Sold","12/8/2011 12:00:00 AM","2.00","5/26/2011 12:00:00 AM"
"St Louis","MO","Mardel","7136","63109","58","","Bathroom in LL, Full, Partially Finished","2.00","12","St Louis City","Ceiling Fan, Central-Electric","12","Conventional","0","Gas","GSTL","127000.00","","Private","125000.00","6/25/2012 12:00:00 AM","125000.00","Cash, Conventional, FHA","Sold","6/25/2012 7:40:51 PM","2.00","5/16/2012 12:00:00 AM"
"St Louis","MO","Winona","6523","63109","70","0","Full","1.00","18","St Louis City","Central-Electric","18","Conventional","1","Gas","GSTL","125000.00","","Government","126000.00","11/30/2011 12:00:00 AM","126000.00","Cash, Conventional, FHA","Sold","12/1/2011 12:00:00 AM","4.00","10/8/2011 12:00:00 AM"
"St Louis","MO","Watson","3930","63109","82","0","Full, Stone/Rock","1.00","57","St Louis City","Central-Electric","57","Conventional","2","Gas","GSTL","129900.00","","Private","127000.00","10/14/2011 12:00:00 AM","127000.00","Cash, Conventional, FHA, RRM/ARM, VA","Sold","10/14/2011 12:00:00 AM","2.00","8/4/2011 12:00:00 AM"
"St Louis","MO","Marquette","7019","63139","70","0","Full, Walk-Out","2.00","8","St Louis City","Central-Electric","8","FHA","1","Gas","GSTL","129000.00","","Private","127000.00","10/26/2011 12:00:00 AM","127000.00","Cash, Conventional, FHA, VA","Sold","10/28/2011 12:00:00 AM","4.00","9/9/2011 12:00:00 AM"
"St Louis","MO","Juniata","6330","63139","73","0","Full","2.00","319","St Louis City","Central-Electric","45","Conventional","1","Gas","GSTL","139900.00","","Private","127500.00","4/25/2012 12:00:00 AM","127500.00","Cash, Conventional, FHA, VA","Sold","4/26/2012 10:43:00 AM","3.00","2/7/2012 12:00:00 AM"
"St Louis","MO","Tholozan","6037","63109","72","0","Full, Sump Pit/Pump, Stone/Rock","1.00","162","St Louis City","Ceiling Fan, Central-Electric","162","FHA","1","Gas","GSTL","135000.00","","Private","128000.00","9/22/2011 12:00:00 AM","128000.00","Cash, Conventional, FHA, VA","Sold","9/23/2011 12:00:00 AM","3.00","3/21/2011 12:00:00 AM"
"St Louis","MO","Arthur","6843","63139","104","0","Concrete Block","2.00","129","St Louis City","Ceiling Fan, Central-Electric","16","FHA","0","Gas","GSTL","135900.00","","Private","129500.00","7/28/2011 12:00:00 AM","129500.00","Cash, Conventional, FHA","Sold","7/28/2011 12:00:00 AM","2.00","5/27/2011 12:00:00 AM"
